item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location,crawl_date
3431453055,24710134,Coolmate - Official Store,Combo 3 quần lót nam dáng Trunk Bamboo kháng khuẩn Coolmate,VND,2210,2018-05-06,160042,9326,100011,COOLMATE,179000,179000,219000,299000,299000,40,41219,128,85,327,1342,39337,4.933750728013978,Hà Nội,2023-12-06
7310895425,24710134,Coolmate - Official Store,Combo 5 quần lót sịp nam Trunk Cotton (2-3 màu) co giãn thoải mái thương hiệu Coolmate,VND,148,2018-05-22,66192,4315,100011,COOLMATE,279000,279000,279000,496000,496000,44,17968,58,39,134,587,17150,4.9343577751795555,Hà Nội,2023-12-06
8403505386,24710134,Coolmate - Official Store,"Áo giữ nhiệt nam Modal Ultra Warm thu đông siêu ấm, thoáng khí - thương hiệu Coolmate",VND,468,2018-12-20,12471,2280,100011,COOLMATE,219000,219000,249000,289000,289000,24,3015,12,6,28,116,2853,4.922362309223623,Hà Nội,2023-12-06
5931355066,24710134,Coolmate - Official Store,Combo 3 Quần lót tam giác nam BRIEF BAMBOO kháng khuẩn Coolmate,VND,142,2018-12-20,41790,1855,100011,COOLMATE,129000,129000,129000,229000,229000,44,12178,40,25,86,371,11656,4.9386966883063526,Hà Nội,2023-12-06
2667411154,24710134,Coolmate - Official Store,Combo 3 quần lót nam Trunk Modal (Gỗ sồi) kháng khuẩn thương hiệu Coolmate,VND,4424,2018-12-20,47512,2988,100011,COOLMATE,219000,219000,219000,279000,279000,22,15089,48,32,115,441,14453,4.938138177960482,Hà Nội,2023-12-06
10280321597,24710134,Coolmate - Official Store,Áo thể thao nam Coolmate Basics thấm hút nhanh khô,VND,4808,2018-12-20,46063,1933,100637,,97000,97000,99000,99000,99000,2,8009,41,34,108,339,7487,4.89749032338619,Hà Nội,2023-12-06
7237568031,24710134,Coolmate - Official Store,Áo thun nam Cotton Compact phiên bản Premium chống nhăn Coolmate,VND,4125,2018-12-20,73929,5641,100011,COOLMATE,219000,219000,219000,259000,259000,15,17514,53,29,115,443,16874,4.9453455168475156,Hà Nội,2023-12-06
7044949931,24710134,Coolmate - Official Store,Quần thể thao nam Max Ultra Short V2 kiểu dáng thể thao có thêm túi khóa sau tiện lợi Coolmate,VND,7094,2018-12-20,39701,1657,100637,COOLMATE,159000,159000,179000,199000,199000,20,8404,48,23,85,277,7971,4.918552036199095,Hà Nội,2023-12-06
21753334120,24710134,Coolmate - Official Store,Áo thun thể thao dài tay thu đông nam Active V2 nhanh khô - Thương hiệu Coolmate,VND,57,2018-12-20,3713,531,100637,,129000,129000,129000,199000,199000,35,785,8,8,19,29,721,4.843312101910828,Hà Nội,2023-12-06
9177437633,24710134,Coolmate - Official Store,Áo Polo thể thao nam ProMax-S1 Logo thương hiệu Coolmate AW,VND,324,2018-12-20,70481,4219,100011,None,189000,189000,189000,239000,239000,21,16409,63,45,160,601,15540,4.921060652240171,Hà Nội,2023-12-06
5919139721,24710134,Coolmate - Official Store,"Quần thể thao nam Maxcool thoáng khí, thoải mái thương hiệu Coolmate",VND,2598,2018-12-20,75132,5146,100011,COOLMATE,109000,109000,119000,129000,129000,16,14421,90,63,227,644,13397,4.886800305195256,Hà Nội,2023-12-06
11563738080,24710134,Coolmate - Official Store,"Quần dài nam Daily Pants - sợi Sorona, nhuộm Cleandye thương hiệu Coolmate",VND,169,2019-02-14,28962,2573,100011,,269000,269000,269000,299000,299000,10,6826,31,33,103,289,6370,4.895955451348183,Hà Nội,2023-12-06
2121190269,24710134,Coolmate - Official Store,Combo 5 quần lót nam tam giác Cotton thương hiệu Coolmate (ngẫu nhiên 2-3 màu),VND,284,2019-03-06,40859,2205,100011,COOLMATE,219000,219000,219000,400000,400000,45,12172,41,23,87,368,11653,4.9368940016433855,Hà Nội,2023-12-06
21428724190,24710134,Coolmate - Official Store,[ Outlet ] Combo 3 quần lót nam Trunk Tencel mềm mại thấm hút tốt - thương hiệu Coolmate,VND,1320,2019-03-09,5481,493,100011,,169000,169000,169000,299000,299000,43,1184,3,4,10,26,1141,4.940878378378378,Hà Nội,2023-12-06
21730960254,24710134,Coolmate - Official Store,Áo thun thể thao nam Active V1 thoáng khí mát mẻ - Coolmate,VND,1115,2019-03-09,18224,733,100011,,139000,139000,139000,169000,169000,18,3304,5,11,26,96,3166,4.9391646489104115,Hà Nội,2023-12-06
22925891512,24710134,Coolmate - Official Store,Áo thun oversize chuột Mickey Disney - thương hiệu 84RISING,VND,1209,2019-03-09,2890,1004,100011,,199500,199500,199500,399000,399000,50,692,1,2,4,16,669,4.955007256894049,Hà Nội,2023-12-06
