item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location,crawl_date
3431453055,24710134,Coolmate - Official Store,Combo 3 quần lót nam dáng Trunk Bamboo kháng khuẩn Coolmate,VND,38940,2018-05-06,166996,9584,100011,COOLMATE,229000,229000,229000,299000,299000,23,42823,133,87,340,1392,40871,4.933850322339531,Hà Nội,2024-01-11
9177437633,24710134,Coolmate - Official Store,Áo Polo thể thao nam ProMax-S1 Logo thương hiệu Coolmate AW,VND,4849,2018-05-22,72408,4364,100011,None,209000,209000,209000,239000,239000,13,16840,63,48,163,618,15948,4.921180803041103,Hà Nội,2024-01-11
7237568031,24710134,Coolmate - Official Store,Áo thun nam Cotton Compact phiên bản Premium chống nhăn Coolmate,VND,226,2018-12-20,75215,5710,100011,COOLMATE,189000,189000,189000,259000,259000,27,17750,53,29,115,450,17103,4.945677899244901,Hà Nội,2024-01-11
10280321597,24710134,Coolmate - Official Store,[Mã FATREND0901 giảm đến 30k đơn từ 99k] Áo thể thao nam Coolmate Basics thấm hút nhanh khô,VND,2441,2018-12-20,48224,2011,100637,,99000,99000,99000,-1,-1,0,8334,43,35,110,353,7793,4.898008159347253,Hà Nội,2024-01-11
7310895425,24710134,Coolmate - Official Store,Combo 5 quần lót sịp nam Trunk Cotton (2-3 màu) co giãn thoải mái thương hiệu Coolmate,VND,11961,2018-12-20,70761,4509,100011,COOLMATE,309000,309000,309000,496000,496000,38,19036,60,45,140,623,18168,4.934153134689159,Hà Nội,2024-01-11
7044949931,24710134,Coolmate - Official Store,Quần thể thao nam Max Ultra Short V2 kiểu dáng thể thao có thêm túi khóa sau tiện lợi Coolmate,VND,3807,2018-12-20,41770,1714,100637,COOLMATE,179000,179000,179000,199000,199000,10,8717,48,25,88,287,8269,4.918953047870509,Hà Nội,2024-01-11
5931355066,24710134,Coolmate - Official Store,Combo 3 Quần lót tam giác nam BRIEF BAMBOO kháng khuẩn Coolmate,VND,31737,2018-12-20,44744,1960,100011,COOLMATE,159000,159000,159000,229000,229000,31,12942,46,29,87,399,12381,4.937214876672079,Hà Nội,2024-01-11
23456018302,24710134,Coolmate - Official Store,Quần thể thao nam Maxcool V2 vận động thoải mái - Thương hiệu Coolmate,VND,2914,2018-12-20,1283,147,100011,,99000,99000,99000,129000,129000,23,217,0,1,1,5,210,4.953917050691245,Hà Nội,2024-01-11
18483274744,24710134,Coolmate - Official Store,Áo thun nam T-Shirt Basic Cotton 100% 220gsm dày dặn mềm mại - Thương hiệu Coolmate,VND,11612,2018-12-20,3876,541,100011,,169000,169000,169000,179000,179000,6,761,3,0,4,17,737,4.951379763469119,Hà Nội,2024-01-11
8403505386,24710134,Coolmate - Official Store,"Áo giữ nhiệt nam Modal Ultra Warm thu đông siêu ấm, thoáng khí - thương hiệu Coolmate",VND,3700,2018-12-20,17959,2507,100011,COOLMATE,199000,199000,289000,289000,289000,31,3974,15,16,36,165,3742,4.914170651900327,Hà Nội,2024-01-11
5943251527,24710134,Coolmate - Official Store,Quần thể thao nam 7inch Ultra Short có túi khóa kéo thương hiệu Coolmate,VND,4936,2019-02-14,81000,3475,100011,COOLMATE,139000,139000,189000,189000,189000,26,17574,67,49,187,589,16682,4.9221444425473795,Hà Nội,2024-01-11
11563738080,24710134,Coolmate - Official Store,"Quần dài nam Daily Pants - sợi Sorona, nhuộm Cleandye thương hiệu Coolmate",VND,9752,2019-03-06,30759,2665,100011,,269000,269000,269000,299000,299000,10,7242,33,35,105,302,6767,4.897651933701657,Hà Nội,2024-01-11
2121190269,24710134,Coolmate - Official Store,Combo 5 quần lót nam tam giác Cotton thương hiệu Coolmate (ngẫu nhiên 2-3 màu),VND,6099,2019-03-09,43392,2296,100011,COOLMATE,259000,259000,259000,400000,400000,35,12815,44,24,93,391,12263,4.9361585889331145,Hà Nội,2024-01-11
21730960254,24710134,Coolmate - Official Store,Áo thun thể thao nam Active V1 thoáng khí mát mẻ - Coolmate,VND,1247,2019-03-09,19067,788,100011,,139000,139000,139000,169000,169000,18,3451,5,11,26,100,3309,4.940596928426543,Hà Nội,2024-01-11
2667411154,24710134,Coolmate - Official Store,Combo 3 quần lót nam Trunk Modal (Gỗ sồi) kháng khuẩn thương hiệu Coolmate,VND,2461,2019-03-16,48052,3039,100011,COOLMATE,179000,179000,179000,279000,279000,36,15230,48,32,115,445,14590,4.938448400446693,Hà Nội,2024-01-11
21031410795,24710134,Coolmate - Official Store,[ Outlet ] Áo Polo thể thao nam Active V1 thoáng khí mát mẻ - thương hiệu Coolmate,VND,3508,2019-03-16,7451,673,100011,,149000,149000,249000,249000,249000,40,1717,7,8,17,76,1609,4.905649388468259,Hà Nội,2024-01-11
23901471766,24710134,Coolmate - Official Store,Áo thể thao dài tay nam thể thao active V2 thoáng khí nhanh khô - Thương hiệu Coolmate,VND,4535,2019-03-20,2436,246,100011,,109000,109000,199000,199000,199000,45,491,3,1,2,28,457,4.904276985743381,Hà Nội,2024-01-11
14126621428,24710134,Coolmate - Official Store,Quần dài nam Kaki Excool co giãn đàn hồi thương hiệu Coolmate,VND,7552,2019-03-25,9735,1291,100011,,459000,459000,459000,499000,499000,8,2539,16,13,34,121,2355,4.884994092162269,Hà Nội,2024-01-11
22925891512,24710134,Coolmate - Official Store,Áo thun Tshirt oversize chuột Mickey Disney - thương hiệu 84RISING,VND,1490,2019-03-25,3610,1126,100011,,229000,229000,229000,399000,399000,43,873,2,2,5,19,845,4.954022988505747,Hà Nội,2024-01-11
22058666516,24710134,Coolmate - Official Store,"Quần nỉ Jogger Essential chống nhăn, siêu thấm hút - Thương hiệu Coolmate",VND,268,2019-03-25,1783,225,100011,,279000,279000,279000,399000,399000,30,373,2,1,3,9,358,4.93029490616622,Hà Nội,2024-01-11
14879912587,24710134,Coolmate - Official Store,[Mã FATREND0901 giảm đến 30k đơn từ 99k] ÁO THUN thể thao nam ProMax-S1 thấm hút nhanh khô Coolmate,VND,2971,2019-03-25,8068,330,100637,,139000,139000,179000,179000,179000,22,1521,7,5,14,49,1446,4.9211045364891515,Hà Nội,2024-01-11
17692863163,24710134,Coolmate - Official Store,Áo thun oversize vịt Donald Disney - thương hiệu 84RISING,VND,1117,2019-03-25,672,195,100011,,199500,199500,199500,399000,399000,50,160,1,1,1,3,154,4.925,Hà Nội,2024-01-11
13840737091,24710134,Coolmate - Official Store,Áo Polo nam Excool khô thoáng chống nhăn thương hiệu Coolmate,VND,2223,2019-03-25,15586,1447,100011,,319000,319000,319000,399000,399000,20,3731,22,13,38,126,3532,4.913917940466613,Hà Nội,2024-01-11
19693620193,24710134,Coolmate - Official Store,"Áo Thun T-Shirt chạy bộ in graphic Special siêu thoáng khí, nhanh khô - Thương hiệu Coolmate",VND,115,2019-03-25,1638,227,100011,,179000,179000,179000,199000,199000,10,354,2,1,1,15,335,4.9209039548022595,Hà Nội,2024-01-11
13954587860,24710134,Coolmate - Official Store,Áo Polo nam SCafé nam tính - khử mùi hiệu quả thương hiệu Coolmate,VND,3737,2019-03-25,6805,808,100011,,297000,297000,329000,329000,329000,10,1678,6,1,19,48,1604,4.934406678592725,Hà Nội,2024-01-11
23985867505,24710134,Coolmate - Official Store,Combo Pack 5 Đôi Tất Vớ Coolmate Basics - Thương hiệu Coolmate,VND,179,2019-03-25,538,92,100011,,99000,99000,99000,-1,-1,0,96,0,0,0,4,92,4.958333333333333,Hà Nội,2024-01-11
7255839012,24710134,Coolmate - Official Store,Áo thun nam DÀI TAY Cotton Compact Premium chống nhăn thương hiệu Coolmate,VND,212,2019-03-25,19559,2944,100011,COOLMATE,159000,159000,269000,269000,269000,41,6069,8,18,40,123,5880,4.954328112118714,Hà Nội,2024-01-11
24802693103,24710134,Coolmate - Official Store,Áo thể thao dài tay nam thu đông Essentials thoáng khí thoải mái vận động - Thương hiệu Coolmate,VND,2521,2019-03-26,771,89,100637,,159000,159000,159000,199000,199000,20,153,3,1,2,9,138,4.816993464052287,Hà Nội,2024-01-11
22786503627,24710134,Coolmate - Official Store,Combo 3 Brief Ex-Comfort Modal mềm min thấm hút mồ hôi - Thương hiệu Coolmate,VND,422,2019-03-28,88,38,100011,,179000,179000,199000,199000,199000,10,22,0,0,1,1,20,4.863636363636363,Hà Nội,2024-01-11
12862311839,24710134,Coolmate - Official Store,Áo ba lỗ Cotton 100% Coolmate Basics V2 Coolmate,VND,1197,2019-03-28,23660,1320,100011,,80000,80000,80000,89000,89000,10,3681,19,9,32,112,3509,4.924205378973105,Hà Nội,2024-01-11
23833488083,24710134,Coolmate - Official Store,[Mã FATREND0901 giảm đến 30k đơn từ 99k] Áo Thun Chạy bộ nam Essentials Fast and Free Running - thương hiệu Coolmate,VND,2373,2019-03-28,5319,354,100637,,149000,149000,159000,159000,159000,6,1033,1,5,11,38,978,4.9235237173281705,Hà Nội,2024-01-11
21156535536,24710134,Coolmate - Official Store,Áo thun Dài tay thu đông Cotton Compact co giãn thoải mái - thương hiệu Coolmate,VND,167,2019-04-18,4168,418,100011,,189000,189000,189000,269000,269000,30,849,2,1,6,16,824,4.954063604240282,Hà Nội,2024-01-11
5919139721,24710134,Coolmate - Official Store,"Quần thể thao nam Maxcool thoáng khí, thoải mái thương hiệu Coolmate",VND,121,2019-05-30,75690,5175,100011,COOLMATE,79000,79000,129000,129000,129000,39,14541,90,63,228,649,13511,4.887253215931761,Hà Nội,2024-01-11
7491859979,24710134,Coolmate - Official Store,Quần Short nam Ultra Pro thoải mái vận động (có túi khóa kéo) thương hiệu Coolmate,VND,3044,2019-06-25,37159,1599,100011,None,159000,159000,159000,189000,189000,16,8643,26,20,73,274,8250,4.935162672224152,Hà Nội,2024-01-11
