item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location,crawl_date
3431453055,24710134,Coolmate - Official Store,Combo 3 quần lót nam dáng Trunk Bamboo kháng khuẩn Coolmate,VND,183,2020-04-24,151050,8680,100011,COOLMATE,179000,179000,179000,299000,299000,40,39230,122,79,312,1287,37430,4.933629108340345,Hà Nội,2023-10-31
5919139721,24710134,Coolmate - Official Store,"Quần thể thao nam Maxcool thoáng khí, thoải mái thương hiệu Coolmate",VND,3323,2020-03-10,73014,5056,100011,COOLMATE,119000,119000,119000,129000,129000,8,14068,87,63,223,630,13065,4.8863765642775885,Hà Nội,2023-10-31
10280321597,24710134,Coolmate - Official Store,Áo thể thao nam Coolmate Basics thấm hút nhanh khô,VND,4239,2021-12-30,43323,1816,100011,,97000,97000,97000,99000,99000,2,7561,40,33,101,327,7060,4.895780981351673,Hà Nội,2023-10-31
7310895425,24710134,Coolmate - Official Store,Combo 5 quần lót sịp nam Trunk Cotton (2-3 màu) co giãn thoải mái thương hiệu Coolmate,VND,64,2019-12-11,62083,4087,100011,COOLMATE,249000,249000,249000,496000,496000,50,16983,53,37,129,552,16212,4.934731385485391,Hà Nội,2023-10-31
7044949931,24710134,Coolmate - Official Store,Quần thể thao nam Max Ultra Short V2 kiểu dáng thể thao có thêm túi khóa sau tiện lợi Coolmate,VND,3634,2020-08-04,36528,1554,100637,COOLMATE,159000,159000,159000,199000,199000,20,7830,44,23,78,253,7432,4.919478527607362,Hà Nội,2023-10-31
9177437633,24710134,Coolmate - Official Store,Áo Polo thể thao nam ProMax-S1 Logo thương hiệu Coolmate AW,VND,3879,2021-07-13,68529,4052,100011,,199000,199000,199000,239000,239000,17,15985,62,44,160,580,15139,4.92071835304424,Hà Nội,2023-10-31
7491859979,24710134,Coolmate - Official Store,Quần Short nam Ultra Pro thoải mái vận động (có túi khóa kéo) thương hiệu Coolmate,VND,3362,2021-06-15,35448,1494,100011,,159000,159000,159000,189000,189000,16,8315,26,19,73,260,7937,4.934649175592731,Hà Nội,2023-10-31
5931355066,24710134,Coolmate - Official Store,Combo 3 Quần lót tam giác nam BRIEF BAMBOO kháng khuẩn Coolmate,VND,357,2020-04-24,38756,1734,100011,COOLMATE,129000,129000,159000,229000,229000,44,11426,40,22,77,357,10930,4.938249978102829,Hà Nội,2023-10-31
5943251527,24710134,Coolmate - Official Store,Quần thể thao nam 7inch Ultra Short có túi khóa kéo thương hiệu Coolmate,VND,6531,2020-07-22,78094,3344,100011,COOLMATE,159000,159000,159000,189000,189000,16,17098,67,48,177,579,16227,4.921906990348055,Hà Nội,2023-10-31
7237568031,24710134,Coolmate - Official Store,Áo thun nam Cotton Compact phiên bản Premium chống nhăn Coolmate,VND,2473,2020-06-11,72566,5559,100011,COOLMATE,239000,239000,239000,259000,259000,8,17287,53,28,115,437,16654,4.945148411734074,Hà Nội,2023-10-31
