item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location,crawl_date
3431453055,24710134,Coolmate - Official Store,Combo 3 quần lót nam dáng Trunk Bamboo kháng khuẩn Coolmate,VND,2160,2018-05-06,160223,9336,100011,COOLMATE,189000,189000,219000,299000,299000,37,41251,128,85,327,1344,39367,4.933753637245393,Hà Nội,2023-12-07
7310895425,24710134,Coolmate - Official Store,Combo 5 quần lót sịp nam Trunk Cotton (2-3 màu) co giãn thoải mái thương hiệu Coolmate,VND,83,2018-05-22,66294,4328,100011,COOLMATE,289000,289000,289000,496000,496000,42,17989,58,39,134,587,17171,4.934434434434435,Hà Nội,2023-12-07
5931355066,24710134,Coolmate - Official Store,Combo 3 Quần lót tam giác nam BRIEF BAMBOO kháng khuẩn Coolmate,VND,178,2018-12-20,41840,1865,100011,COOLMATE,139000,139000,139000,229000,229000,39,12187,40,25,86,371,11665,4.938741993759238,Hà Nội,2023-12-07
8403505386,24710134,Coolmate - Official Store,"Áo giữ nhiệt nam Modal Ultra Warm thu đông siêu ấm, thoáng khí - thương hiệu Coolmate",VND,428,2018-12-20,12572,2297,100011,COOLMATE,219000,219000,229000,289000,289000,24,3040,13,6,28,119,2874,4.920697597894044,Hà Nội,2023-12-07
10280321597,24710134,Coolmate - Official Store,Áo thể thao nam Coolmate Basics thấm hút nhanh khô,VND,5422,2018-12-20,46105,1936,100637,,99000,99000,99000,-1,-1,0,8013,41,34,108,339,7491,4.89754149507051,Hà Nội,2023-12-07
9177437633,24710134,Coolmate - Official Store,Áo Polo thể thao nam ProMax-S1 Logo thương hiệu Coolmate AW,VND,197,2018-12-20,70510,4223,100011,None,189000,189000,189000,239000,239000,21,16413,63,45,160,601,15544,4.921079895179474,Hà Nội,2023-12-07
21753334120,24710134,Coolmate - Official Store,Áo thun thể thao dài tay thu đông nam Active V2 nhanh khô - Thương hiệu Coolmate,VND,246,2018-12-20,3755,534,100637,,149000,149000,199000,199000,199000,25,789,8,8,20,29,724,4.841571609632446,Hà Nội,2023-12-07
2667411154,24710134,Coolmate - Official Store,Combo 3 quần lót nam Trunk Modal (Gỗ sồi) kháng khuẩn thương hiệu Coolmate,VND,4420,2018-12-20,47530,2991,100011,COOLMATE,239000,239000,239000,279000,279000,14,15093,48,32,115,441,14457,4.938154580405675,Hà Nội,2023-12-07
7044949931,24710134,Coolmate - Official Store,Quần thể thao nam Max Ultra Short V2 kiểu dáng thể thao có thêm túi khóa sau tiện lợi Coolmate,VND,150,2018-12-20,39766,1659,100637,COOLMATE,109000,109000,179000,199000,199000,45,8411,48,23,86,277,7977,4.9183819155264725,Hà Nội,2023-12-07
7237568031,24710134,Coolmate - Official Store,Áo thun nam Cotton Compact phiên bản Premium chống nhăn Coolmate,VND,195,2018-12-20,73956,5642,100011,COOLMATE,170100,170100,259000,259000,259000,34,17517,53,29,115,443,16877,4.94535487923257,Hà Nội,2023-12-07
18483274744,24710134,Coolmate - Official Store,T-Shirt Basic Cotton 100% 220gsm dày dặn mềm mại - Thương hiệu Coolmate,VND,238,2018-12-20,3035,454,100011,,143100,143100,143100,179000,179000,20,582,3,0,3,11,565,4.950171821305842,Hà Nội,2023-12-07
2121190269,24710134,Coolmate - Official Store,Combo 5 quần lót nam tam giác Cotton thương hiệu Coolmate (ngẫu nhiên 2-3 màu),VND,1502,2019-02-14,40921,2209,100011,COOLMATE,219000,219000,229000,400000,400000,45,12181,41,23,87,369,11661,4.9368585269726575,Hà Nội,2023-12-07
22925891512,24710134,Coolmate - Official Store,Áo thun oversize chuột Mickey Disney - thương hiệu 84RISING,VND,206,2019-03-06,2903,1009,100011,,179100,179100,179100,399000,399000,55,700,1,2,4,16,677,4.955523672883787,Hà Nội,2023-12-07
5919139721,24710134,Coolmate - Official Store,"Quần thể thao nam Maxcool thoáng khí, thoải mái thương hiệu Coolmate",VND,2669,2019-03-09,75148,5147,100011,COOLMATE,119000,119000,119000,129000,129000,8,14422,90,63,227,644,13398,4.886808156471078,Hà Nội,2023-12-07
23456018302,24710134,Coolmate - Official Store,Quần thể thao nam Maxcool V2 vận động thoải mái - Thương hiệu Coolmate,VND,1968,2019-03-09,567,103,100011,,99000,99000,99000,129000,129000,23,97,0,0,0,2,95,4.979381443298969,Hà Nội,2023-12-07
21428724190,24710134,Coolmate - Official Store,[ Outlet ] Combo 3 quần lót nam Trunk Tencel mềm mại thấm hút tốt - thương hiệu Coolmate,VND,1294,2019-03-09,5506,496,100011,,179000,179000,299000,299000,299000,40,1187,3,4,10,26,1144,4.941027801179444,Hà Nội,2023-12-07
21730960254,24710134,Coolmate - Official Store,Áo thun thể thao nam Active V1 thoáng khí mát mẻ - Coolmate,VND,2047,2019-03-16,18245,733,100011,,139000,139000,139000,169000,169000,18,3309,5,11,26,96,3171,4.939256572982774,Hà Nội,2023-12-07
11563738080,24710134,Coolmate - Official Store,"Quần dài nam Daily Pants - sợi Sorona, nhuộm Cleandye thương hiệu Coolmate",VND,94,2019-03-16,29027,2576,100011,,269000,269000,269000,299000,299000,10,6843,31,33,103,289,6387,4.896214003800614,Hà Nội,2023-12-07
21031410795,24710134,Coolmate - Official Store,[ Outlet ] Áo Polo thể thao nam Active V1 thoáng khí mát mẻ - thương hiệu Coolmate,VND,4961,2019-03-20,6655,598,100011,,149000,149000,249000,249000,249000,40,1535,6,8,16,65,1440,4.905537459283388,Hà Nội,2023-12-07
23901471766,24710134,Coolmate - Official Store,Áo thể thao dài tay nam thể thao active V2 thoáng khí nhanh khô - Thương hiệu Coolmate,VND,61,2019-03-25,1245,146,100011,,129000,129000,149000,199000,199000,35,231,1,1,1,13,215,4.904761904761905,Hà Nội,2023-12-07
21247537221,24710134,Coolmate - Official Store,[ Outlet ] Quần thể thao nam ULTRA SHORT 5'' thoáng khí dễ vận động Coolmate,VND,1071,2019-03-25,3129,301,100637,,89000,89000,159000,169000,169000,47,528,2,5,6,18,497,4.899621212121212,Hà Nội,2023-12-07
21156535536,24710134,Coolmate - Official Store,Áo thun Dài tay thu đông Cotton Compact co giãn thoải mái - thương hiệu Coolmate,VND,4853,2019-03-25,2586,323,100011,,259000,259000,259000,269000,269000,4,538,1,1,3,10,523,4.9572490706319705,Hà Nội,2023-12-07
12597033910,24710134,Coolmate - Official Store,[ Outlet ] Quần Jogger thể thao co giãn Graphene - thương hiệu Coolmate,VND,206,2019-03-25,2712,394,100011,,203000,203000,203000,339000,339000,40,709,5,3,12,43,646,4.8645980253878705,Hà Nội,2023-12-07
5943251527,24710134,Coolmate - Official Store,Quần thể thao nam 7inch Ultra Short có túi khóa kéo thương hiệu Coolmate,VND,260,2019-03-25,79636,3425,100011,COOLMATE,119000,119000,119000,189000,189000,37,17375,67,49,183,584,16492,4.9220009210223346,Hà Nội,2023-12-07
14126621428,24710134,Coolmate - Official Store,Quần dài nam Kaki Excool co giãn đàn hồi thương hiệu Coolmate,VND,166,2019-03-25,8856,1198,100011,,439000,439000,459000,499000,499000,12,2309,14,13,31,108,2143,4.885231702035513,Hà Nội,2023-12-07
23045579514,24710134,Coolmate - Official Store,Lăn khử mùi cho nam giới hương nước hoa 50g - thương hiệu CM24,VND,416,2019-03-25,255,56,100630,,99000,99000,99000,-1,-1,0,67,0,0,0,2,65,4.970149253731344,Hà Nội,2023-12-07
19754622898,24710134,Coolmate - Official Store,Tất vớ cao cổ 84RISING nhiều màu - thương hiệu 84RISING,VND,541,2019-03-25,3715,284,100011,,35000,35000,35000,48000,48000,27,867,3,0,4,19,841,4.957175925925926,Hà Nội,2023-12-07
21195204768,24710134,Coolmate - Official Store,Quần Jeans Basics dáng Regular Straight - Thương hiệu Coolmate,VND,1125,2019-03-25,93,45,100011,,469000,469000,469000,490000,490000,4,23,0,0,0,3,20,4.869565217391305,Hà Nội,2023-12-07
23258140085,24710134,Coolmate - Official Store,"Quần Jogger co giãn Excool nhanh khô, thấm hút tốt - Thương hiệu Coolmate",VND,162,2019-03-25,948,184,100011,,269000,269000,269000,279000,279000,4,192,1,0,4,12,175,4.875,Hà Nội,2023-12-07
22058666516,24710134,Coolmate - Official Store,"Quần nỉ Jogger Essential chống nhăn, siêu thấm hút - Thương hiệu Coolmate",VND,1540,2019-03-25,505,141,100011,,369000,369000,369000,399000,399000,8,100,0,0,1,3,96,4.95,Hà Nội,2023-12-07
19585721000,24710134,Coolmate - Official Store,Đồ bộ set thu đông nam thể thao Pro Active - Thương hiệu Coolmate,VND,63,2019-03-26,177,70,100011,,699000,699000,749000,898000,898000,22,42,0,0,1,3,38,4.880952380952381,Hà Nội,2023-12-07
23833488083,24710134,Coolmate - Official Store,Áo Thun Chạy bộ nam Essentials Fast and Free Running - thương hiệu Coolmate,VND,3571,2019-03-28,4869,323,100637,,149000,149000,159000,159000,159000,6,945,1,4,9,37,894,4.924867724867725,Hà Nội,2023-12-07
22960786648,24710134,Coolmate - Official Store,Quần Jeans Nam Basics dáng Slim fit - Thương hiệu Coolmate,VND,1000,2019-03-28,74,48,100011,,469000,469000,469000,490000,490000,4,18,0,0,1,0,17,4.888888888888889,Hà Nội,2023-12-07
