item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location,crawl_date
3431453055,24710134,Coolmate - Official Store,Combo 3 quần lót nam dáng Trunk Bamboo kháng khuẩn Coolmate,VND,301,2018-05-06,163285,9417,100011,COOLMATE,179000,179000,219000,299000,299000,40,42044,130,87,332,1376,40119,4.933671163133728,Hà Nội,2023-12-20
7310895425,24710134,Coolmate - Official Store,Combo 5 quần lót sịp nam Trunk Cotton (2-3 màu) co giãn thoải mái thương hiệu Coolmate,VND,143,2018-05-22,68074,4399,100011,COOLMATE,279000,279000,279000,496000,496000,44,18465,60,40,135,606,17624,4.934391591721747,Hà Nội,2023-12-20
10280321597,24710134,Coolmate - Official Store,Áo thể thao nam Coolmate Basics thấm hút nhanh khô,VND,4385,2018-12-20,47047,1970,100637,,97000,97000,97000,99000,99000,2,8170,42,34,109,345,7640,4.898041615667075,Hà Nội,2023-12-20
9177437633,24710134,Coolmate - Official Store,Áo Polo thể thao nam ProMax-S1 Logo thương hiệu Coolmate AW,VND,164,2018-12-20,71280,4288,100011,None,179000,179000,179000,239000,239000,25,16620,63,46,161,609,15741,4.921280693307655,Hà Nội,2023-12-20
22925891512,24710134,Coolmate - Official Store,Áo thun Tshirt oversize chuột Mickey Disney - thương hiệu 84RISING,VND,2502,2018-12-20,3251,1074,100011,,199500,199500,199500,399000,399000,50,806,2,2,4,19,779,4.952677459526774,Hà Nội,2023-12-20
7044949931,24710134,Coolmate - Official Store,Quần thể thao nam Max Ultra Short V2 kiểu dáng thể thao có thêm túi khóa sau tiện lợi Coolmate,VND,6214,2018-12-20,40664,1691,100637,COOLMATE,159000,159000,159000,199000,199000,20,8581,48,23,88,283,8139,4.918833819241983,Hà Nội,2023-12-20
7237568031,24710134,Coolmate - Official Store,Áo thun nam Cotton Compact phiên bản Premium chống nhăn Coolmate,VND,4533,2018-12-20,74485,5676,100011,COOLMATE,219000,219000,219000,259000,259000,15,17612,53,29,115,445,16970,4.945536119945479,Hà Nội,2023-12-20
5931355066,24710134,Coolmate - Official Store,Combo 3 Quần lót tam giác nam BRIEF BAMBOO kháng khuẩn Coolmate,VND,33697,2018-12-20,43161,1901,100011,COOLMATE,159000,159000,159000,229000,229000,31,12569,41,27,86,387,12028,4.938535031847134,Hà Nội,2023-12-20
23456018302,24710134,Coolmate - Official Store,Quần thể thao nam Maxcool V2 vận động thoải mái - Thương hiệu Coolmate,VND,3116,2018-12-20,849,118,100011,,99000,99000,99000,129000,129000,23,156,0,1,0,5,150,4.948717948717949,Hà Nội,2023-12-20
18483274744,24710134,Coolmate - Official Store,Áo thun nam T-Shirt Basic Cotton 100% 220gsm dày dặn mềm mại - Thương hiệu Coolmate,VND,14373,2018-12-20,3404,484,100011,,169000,169000,169000,179000,179000,6,678,3,0,3,15,657,4.951327433628318,Hà Nội,2023-12-20
21428724190,24710134,Coolmate - Official Store,[ Outlet ] Combo 3 quần lót nam Trunk Tencel mềm mại thấm hút tốt - thương hiệu Coolmate,VND,651,2018-12-20,5819,520,100011,,169000,169000,169000,299000,299000,43,1257,3,5,10,28,1211,4.940334128878281,Hà Nội,2023-12-20
21031410795,24710134,Coolmate - Official Store,[ Outlet ] Áo Polo thể thao nam Active V1 thoáng khí mát mẻ - thương hiệu Coolmate,VND,4358,2019-02-14,6987,634,100011,,239000,239000,239000,249000,249000,4,1628,6,8,16,71,1527,4.907248157248158,Hà Nội,2023-12-20
8403505386,24710134,Coolmate - Official Store,"Áo giữ nhiệt nam Modal Ultra Warm thu đông siêu ấm, thoáng khí - thương hiệu Coolmate",VND,163,2019-03-06,13932,2376,100011,COOLMATE,189000,189000,189000,289000,289000,35,3316,13,9,33,140,3121,4.915233785822021,Hà Nội,2023-12-20
21730960254,24710134,Coolmate - Official Store,Áo thun thể thao nam Active V1 thoáng khí mát mẻ - Coolmate,VND,1612,2019-03-09,18653,757,100011,,149000,149000,149000,169000,169000,12,3378,5,11,26,99,3237,4.939609236234459,Hà Nội,2023-12-20
