item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location
23041454545,277366270,4MEN OFFICIAL,"Quần Jogger Nam Lưng Thun 4MEN J004 bo ống, phong cách trẻ trung, hiện đại, vải mềm mại, co giãn thoải mái, thấm mồ hôi",VND,1,2023-05-04,7,0,100011,,375000,375000,375000,-1,-1,0,1,0,0,0,0,1,5.0,TP. Hồ Chí Minh
20993762906,277366270,4MEN OFFICIAL,"Áo polo nam 4MEN PO103 phối màu kẻ sọc, vải cotton 4 chiều, thấm mồ hôi, thoáng mát, co giãn mềm mịn, trẻ trung",VND,1,2023-10-03,1,0,100011,,345000,345000,345000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
23140646668,277366270,4MEN OFFICIAL,"Áo Vest Nam Trơn Slimfit Túi Hai Tầng 4MEN AV039 tôn dáng, phong cách sang trọng, thanh lịch, công sở, vải mềm mịn",VND,10,2023-04-25,0,4,100011,,1150000,1150000,1150000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
21929998419,277366270,4MEN OFFICIAL,"Áo Thun Nam Regular Best Dad Ever 4MEN AT097 cổ tròn tay ngắn, vải cotton co giãn 2 chiều, thoáng mát, trẻ trung",VND,1,2022-08-01,25,8,100011,,275000,275000,275000,-1,-1,0,9,0,0,0,0,9,5.0,TP. Hồ Chí Minh
21532828259,277366270,4MEN OFFICIAL,"Áo Thun Nam Slimfit Teddy 4MEN AT104 cổ tròn tay ngắn, kẻ sọc ngang basic, nhiều màu đẹp, vải thun mát, mềm mịn, co giãn",VND,5,2022-08-10,7,4,100011,,275000,275000,275000,-1,-1,0,2,0,0,0,0,2,5.0,TP. Hồ Chí Minh
19055362870,277366270,4MEN OFFICIAL,"Thắt lưng khóa tự động 4MEN TL126 dây nịt trơn màu đen basic, chất liệu da PU bền chắc, thời trang, dễ phối đồ",VND,2,2022-10-17,1,0,100009,,315000,315000,315000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
21827404029,277366270,4MEN OFFICIAL,"Áo Polo Nam Form Slimfit Stripe Color 4MEN PO083 đẹp, vải cotton cá sấu thoáng mái, co giãn",VND,5,2022-07-25,15,13,100011,,345000,345000,345000,-1,-1,0,4,0,0,0,0,4,5.0,TP. Hồ Chí Minh
6493694673,277366270,4MEN OFFICIAL,"Áo khoác dù nam trơn 4MEN AK020 vải dù, cổ đứng, may 2 lớp dày dặn, chống nắng, mau khô, phong cách trẻ trung",VND,2,2021-07-05,57,59,100011,,315000,315000,315000,-1,-1,0,27,0,0,1,2,24,4.851851851851852,TP. Hồ Chí Minh
23405675982,277366270,4MEN OFFICIAL,"Áo Sơ Mi Nam Regular Gập Viền 4MEN SM119 dài tay, 2 túi, cổ bẻ truyền thống, vải kaki sớ chéo dày dặn, thấm mồ hôi",VND,1,2022-11-16,9,6,100011,,415000,415000,415000,-1,-1,0,1,0,0,0,0,1,5.0,TP. Hồ Chí Minh
5641208221,277366270,4MEN OFFICIAL,Quần Jean Nam Cao Cấp 4MEN QJ1678,VND,1,2020-07-07,0,17495,100011,No Brand,475000,475000,475000,-1,-1,0,0,0,0,0,0,0,0.0,TP. Hồ Chí Minh
