item_id,shop_id,shop_name,name,currency,stock,ctime,historical_sold,liked_count,cat_id,brand,price,price_min,price_max,price_min_before_discount,price_max_before_discount,raw_discount,rating_total,rating_1_star,rating_2_star,rating_3_star,rating_4_star,rating_5_star,rating_star,shop_location,crawl_date
3431453055,24710134,Coolmate - Official Store,Combo 3 quần lót nam dáng Trunk Bamboo kháng khuẩn Coolmate,VND,342,2018-05-06,164929,9464,100011,COOLMATE,189000,189000,219000,299000,299000,37,42294,130,87,336,1383,40358,4.933708582645508,Hà Nội,2023-12-27
7310895425,24710134,Coolmate - Official Store,Combo 5 quần lót sịp nam Trunk Cotton (2-3 màu) co giãn thoải mái thương hiệu Coolmate,VND,77,2018-05-22,69302,4442,100011,COOLMATE,289000,289000,289000,496000,496000,42,18667,60,42,135,612,17818,4.934458735262594,Hà Nội,2023-12-27
10280321597,24710134,Coolmate - Official Store,Áo thể thao nam Coolmate Basics thấm hút nhanh khô,VND,4098,2018-12-20,47600,1991,100637,,99000,99000,99000,-1,-1,0,8240,42,34,110,351,7703,4.897936893203884,Hà Nội,2023-12-27
9177437633,24710134,Coolmate - Official Store,Áo Polo thể thao nam ProMax-S1 Logo thương hiệu Coolmate AW,VND,223,2018-12-20,71834,4316,100011,None,189000,189000,189000,239000,239000,21,16691,63,47,163,612,15806,4.92101636004075,Hà Nội,2023-12-27
22925891512,24710134,Coolmate - Official Store,Áo thun Tshirt oversize chuột Mickey Disney - thương hiệu 84RISING,VND,2403,2018-12-20,3436,1097,100011,,199500,199500,199500,399000,399000,50,829,2,2,4,19,802,4.953995157384988,Hà Nội,2023-12-27
8403505386,24710134,Coolmate - Official Store,"Áo giữ nhiệt nam Modal Ultra Warm thu đông siêu ấm, thoáng khí - thương hiệu Coolmate",VND,71,2018-12-20,15843,2469,100011,COOLMATE,199000,199000,199000,289000,289000,31,3657,13,13,34,154,3443,4.915481400437637,Hà Nội,2023-12-27
5931355066,24710134,Coolmate - Official Store,Combo 3 Quần lót tam giác nam BRIEF BAMBOO kháng khuẩn Coolmate,VND,216,2018-12-20,43832,1928,100011,COOLMATE,129000,129000,129000,229000,229000,44,12678,43,28,86,391,12130,4.937879864235535,Hà Nội,2023-12-27
23456018302,24710134,Coolmate - Official Store,Quần thể thao nam Maxcool V2 vận động thoải mái - Thương hiệu Coolmate,VND,3011,2018-12-20,1031,131,100011,,99000,99000,99000,129000,129000,23,171,0,1,1,5,164,4.941520467836257,Hà Nội,2023-12-27
24802693103,24710134,Coolmate - Official Store,Áo thể thao dài tay nam thu đông Essentials thoáng khí thoải mái vận động - Thương hiệu Coolmate,VND,77,2018-12-20,344,56,100637,,139000,139000,139000,199000,199000,30,74,1,1,0,4,68,4.851351351351352,Hà Nội,2023-12-27
21428724190,24710134,Coolmate - Official Store,[ Outlet ] Combo 3 quần lót nam Trunk Tencel mềm mại thấm hút tốt - thương hiệu Coolmate,VND,457,2018-12-20,6010,532,100011,,179000,179000,299000,299000,299000,40,1295,3,5,10,29,1248,4.941312741312741,Hà Nội,2023-12-27
